x,y,z
4.8456,-1.5939,1.1223
2.5440,-1.9224,-0.0895
3.5068,2.2721,0.0620
2.1168,1.2706,1.1814
3.1291,1.1470,1.2458
0.1441,2.5834,-0.0266
1.8632,0.7416,0.9278
5.3051,1.6573,-0.9820
0.3169,1.6784,-0.4633
2.2754,1.3926,1.1900
5.9540,2.5340,-0.1156
3.5273,0.2375,1.7167
5.2861,2.3279,-0.3804
1.5728,0.1209,-0.0204
5.2142,-1.4014,0.4749
2.6803,-1.2460,0.7375
0.1410,-0.8739,-1.8194
5.8817,-2.3731,0.1016
4.1318,-2.0674,1.3565
2.5811,0.1099,1.6140
0.6194,2.6120,0.0279
5.7212,0.1391,-1.6209
2.7181,2.8700,-0.0930
3.7393,1.2934,0.5066
4.6551,-1.2700,1.2649
2.2904,-1.9888,-0.4847
0.8643,0.5463,-0.8569
5.9697,2.2625,-0.3280
5.1437,-0.3614,-0.3531
0.8260,-0.7889,-1.8426
1.6056,-0.9106,-0.9201
4.5793,0.2136,0.1882
2.6901,2.1170,0.5049
0.6811,-1.4494,-1.7335
3.3906,1.1851,0.9944
2.6356,0.5860,1.6768
2.1779,-2.9225,-0.5095
2.6032,-2.9388,-0.3034
0.1064,-1.6359,-1.1654
4.1395,-2.6082,0.8601
3.3567,-1.7290,1.1945
0.1273,0.1445,-1.9029
0.4933,1.3490,-0.5774
0.0159,0.8516,-1.4959
1.8711,-2.7587,-0.7217
5.3652,-2.9496,0.4769
4.2468,-1.1676,1.6808
3.5409,0.0332,1.8334
1.8455,2.6309,0.0813
2.8066,-1.8174,0.3865
4.7315,-1.4839,1.2348
5.6661,-0.1472,-1.4302
4.2535,0.6716,0.3321
1.5433,2.8445,-0.1280
3.2929,-1.5464,1.3028
2.4036,-0.8037,0.6884
2.8288,2.9764,-0.1188
0.7322,-1.1930,-1.8523
3.4491,0.7643,1.3496
3.4892,0.2860,1.7125
0.6086,-2.8506,-0.4437
0.9886,1.7581,0.2038
4.1197,0.9193,0.3197
0.8573,-1.3456,-1.7826
1.9752,-2.4542,-0.8271
0.5326,-1.1156,-1.8743
2.0409,-2.5323,-0.7580
5.9300,-2.2356,-0.0332
1.9624,-2.2073,-0.8909
4.5073,2.2358,-0.3515
0.3314,2.9382,-0.0352
2.5984,-2.6628,-0.3228
1.6881,2.9405,-0.2273
4.1881,-0.0383,1.1342
1.9203,-2.5681,-0.8127
2.0981,-0.7187,0.1876
3.8968,2.9443,0.1275
4.3065,-0.3716,1.2332
0.9664,-1.1776,-1.7759
4.3877,2.6420,-0.0561
0.0752,1.3860,-0.9455
4.6179,0.4658,-0.1179
1.0024,-1.8319,-1.5278
1.5111,-2.0530,-1.2613
1.1142,0.0010,-0.9863
4.9486,2.4307,-0.2756
4.0535,2.8746,0.1051
2.8643,0.9694,1.5168
0.5330,-0.7165,-1.9692
0.0004,2.0217,-0.4003
5.2476,0.5451,-1.1849
3.3826,-0.1128,1.9627
4.8072,1.8852,-0.6605
5.3392,0.5954,-1.3114
3.4139,-1.2442,1.6745
4.7455,1.7916,-0.6711
2.0903,-0.4641,0.4256
5.8172,2.8406,0.0815
3.4199,-1.5593,1.4181
4.2416,-0.0810,1.0865
0.5288,2.1640,-0.0179
3.5334,0.0061,1.8526
2.7785,2.2120,0.3882
5.0149,-2.4314,0.8996
4.2183,0.4748,0.5825
1.0464,1.3072,0.0726
1.6978,-1.2547,-0.9937
5.6580,1.0334,-1.4642
4.7991,-2.2362,1.1055
0.8856,-0.4609,-1.6703
0.2696,-1.8073,-1.1736
4.8541,-2.5068,0.9398
4.1372,-0.1397,1.3021
2.0648,-0.7639,0.0769
4.6062,2.6213,-0.0824
1.0385,2.1943,0.2419
1.1346,0.3574,-0.5996
4.2052,0.0238,1.0490
1.4347,-0.8537,-1.1613
2.2663,-0.7369,0.4967
4.4151,0.1345,0.5732
4.5674,1.2172,-0.5178
5.5289,-2.2850,0.4658
0.0037,1.8294,-0.5670
3.2993,1.1434,1.1194
2.9829,1.7056,0.7846
1.0282,2.1787,0.2406
4.1210,0.7968,0.4300
5.1646,0.0564,-0.7692
