d,data,new_data,switches,description
57,smlp_toy_num_resp_noknobs,,"-mode verify -resp y1,y2 -feat x0,x1,x2 -model dt_sklearn -dt_sklearn_max_depth 15 -tree_encoding nested -compress_rules f -spec smlp_toy_num_resp_noknobs_verify.spec -asrt_names asrt_y1,asrt_y2 -asrt_expr ""y1*2+x0<=5 and y1<=10;-2*y2-1<10-x2"" -save_model_config f -mrmr_pred 0 -plots f -pred_plots f -resp_plots f -seed 10 -log_time f",basic dt_sklearn assertion verfication test with numeric labels and integer grid as domain
61,smlp_toy_num_resp_noknobs,,"-mode verify -resp y1,y2 -feat x0,x1,x2 -model nn_keras -nnet_encoding nested -nn_keras_epochs 100 -save_model_config f --spec  smlp_toy_num_resp_noknobs_verify.spec -asrt_names asrt_y1,asrt_y2 -asrt_expr ""not(x2<y1*2+x0<=(x1+1)>5 and y1<=10);-2*y2-1<10-x2 and x2>5 and x2<8"" -vacuity f -mrmr_pred 0 -plots f -pred_plots f -resp_plots f -seed 10 -log_time f -nn_keras_seq_api f -solver_path mathsat-5.6.8-linux-x86_64-reentrant/bin/mathsat", tests verificaion mode for NN with nn_keras_seq_api f
62,smlp_toy_num_resp_noknobs,,"-mode verify -resp y1,y2 -feat x0,x1,x2 -model nn_keras -nnet_encoding nested -nn_keras_epochs 100 -nn_keras_seq_api t -save_model_config f -spec smlp_toy_num_resp_noknobs_verify.spec -asrt_names asrt_y1,asrt_y2 -asrt_expr ""not(x2<y1*2+x0<=(x1+1)>5 and y1<=10);-2*y2-1<10-x2 and x2>5 and x2<8"" -vacuity f -mrmr_pred 0 -plots f -pred_plots f -resp_plots f -seed 10 -log_time f -solver_path mathsat-5.6.8-linux-x86_64-reentrant/bin/mathsat",tests verificaion mode for NN with nn_keras_seq_api t
65,smlp_toy_num_resp_noknobs,,"-mode verify -resp y1,y2 -feat x0,x1,x2 -model dt_sklearn -dt_sklearn_max_depth 15 -tree_encoding nested -compress_rules f -save_model t -use_model f -model_name test65_model -spec smlp_toy_num_resp_noknobs_verify.spec -asrt_names asrt1,asrt2 -asrt_exprs ""x0**2+y1>4.3;(y1+x2)/2<6"" -mrmr_pred 0 -plots f -pred_plots f -resp_plots f -seed 10 -log_time f ",basic dt_sklearn assertion verification test on data with numeric labels
66,test65_model,,"-mode verify -resp y1,y2 -feat x0,x1,x2 -model dt_sklearn -dt_sklearn_max_depth 15 -tree_encoding nested -compress_rules f  -save_model f -use_model t -spec smlp_toy_num_resp_noknobs_verify.spec -asrt_names asrt1,asrt2 -asrt_exprs ""x0**2+y1>4.3;(y1+x2)/2<6"" -mrmr_pred 0 -plots f -pred_plots f -resp_plots f -seed 10 -log_time f ",basic dt_sklearn  assertion verification test on data with one numeric response
67,smlp_toy_num_resp_noknobs,,"-mode verify -resp y1,y2 -feat x0,x1,x2 -model dt_sklearn -dt_sklearn_max_depth 15 -tree_encoding nested -compress_rules f -model_per_response t -save_model t -use_model f -model_name test67_model -spec smlp_toy_num_resp_noknobs_verify.spec -asrt_names asrt1,asrt2 -asrt_exprs ""x0**2+y1>4.3;(y1+x2)/2<6"" -mrmr_pred 0 -plots f -pred_plots f -resp_plots f -seed 10 -log_time f ",basic dt_sklearn assertion verification test on data with numeric labels
68,test67_model,,"-mode verify -resp y1,y2 -feat x0,x1,x2 -model dt_sklearn -dt_sklearn_max_depth 15 -tree_encoding nested -compress_rules f  -model_per_response t -save_model f -use_model t -spec smlp_toy_num_resp_noknobs_verify.spec -asrt_names asrt1,asrt2 -asrt_exprs ""x0**2+y1>4.3;(y1+x2)/2<6"" -mrmr_pred 0 -plots f -pred_plots f -resp_plots f -seed 10 -log_time f ",basic dt_sklearn  assertion verification test on data with one numeric response
71,smlp_toy_num_resp_noknobs,,"-mode verify -resp y1,y2 -feat x0,x1,x2 -model nn_keras -nnet_encoding nested -save_model t -use_model f -model_name test71_model -model_per_response t -spec smlp_toy_num_resp_noknobs_verify.spec -asrt_names asrt1 -asrt_exprs ""(y1**3+x2)/2<6"" -mrmr_pred 0 -plots f -pred_plots f -resp_plots f -seed 10 -log_time f -nn_keras_epochs 20 -nn_keras_seq_api f -solver_path mathsat-5.6.8-linux-x86_64-reentrant/bin/mathsat",nn_keras verification test with model_per_response training 
72,test71_model,,"-mode verify -resp y1,y2 -feat x0,x1,x2 -model nn_keras -nnet_encoding nested -save_model f -use_model t -model_per_response t -spec smlp_toy_num_resp_noknobs_verify.spec -asrt_names asrt1 -asrt_exprs ""(y2**3+x2)/2<6"" -mrmr_pred 0 -plots f -pred_plots f -resp_plots f -seed 10 -log_time f -nn_keras_epochs 20 -nn_keras_seq_api f -solver_path mathsat-5.6.8-linux-x86_64-reentrant/bin/mathsat",nn_keras verification test with re-using saved model_per_response trained model
73,smlp_toy_num_resp_noknobs,smlp_toy_num_resp_noknobs_pred_labeled,"-mode verify -resp y1,y2 -feat x0,x1,x2 -model dt_sklearn -dt_sklearn_max_depth 15 -tree_encoding nested -compress_rules f -save_model t -use_model f -model_name test73_model -mrmr_pred 2 -model_per_response t -spec smlp_toy_num_resp_noknobs_verify.spec -asrt_names asrt1,asrt2,asrt3 -asrt_exprs ""(y2**3+x2)/2<6;y1>=9;y2<0"" -plots f -pred_plots f -resp_plots f -seed 10 -log_time f",tests model term formation when mrmr_pred is activated and not all features are selected for training the model
