Iteration,p0,p1,p2,p3,o0_CH0RANK0Byte0,o0_CH0RANK0Byte1,o0_CH0RANK0Byte2,o0_CH0RANK0Byte3,o0_CH0RANK0Byte4,o0_CH0RANK0Byte5,o0_CH0RANK0Byte6,o0_CH0RANK0Byte7,o0_CH0RANK1Byte0,o0_CH0RANK1Byte1,o0_CH0RANK1Byte2,o0_CH0RANK1Byte3,o0_CH0RANK1Byte4,o0_CH0RANK1Byte5,o0_CH0RANK1Byte6,o0_CH0RANK1Byte7,o0_CH1RANK0Byte0,o0_CH1RANK0Byte1,o0_CH1RANK0Byte2,o0_CH1RANK0Byte3,o0_CH1RANK0Byte4,o0_CH1RANK0Byte5,o0_CH1RANK0Byte6,o0_CH1RANK0Byte7,o0_CH1RANK1Byte0,o0_CH1RANK1Byte1,o0_CH1RANK1Byte2,o0_CH1RANK1Byte3,o0_CH1RANK1Byte4,o0_CH1RANK1Byte5,o0_CH1RANK1Byte6,o0_CH1RANK1Byte7,o1_CH0RANK0Byte0,o1_CH0RANK0Byte1,o1_CH0RANK0Byte2,o1_CH0RANK0Byte3,o1_CH0RANK0Byte4,o1_CH0RANK0Byte5,o1_CH0RANK0Byte6,o1_CH0RANK0Byte7,o1_CH0RANK1Byte0,o1_CH0RANK1Byte1,o1_CH0RANK1Byte2,o1_CH0RANK1Byte3,o1_CH0RANK1Byte4,o1_CH0RANK1Byte5,o1_CH0RANK1Byte6,o1_CH0RANK1Byte7,o1_CH1RANK0Byte0,o1_CH1RANK0Byte1,o1_CH1RANK0Byte2,o1_CH1RANK0Byte3,o1_CH1RANK0Byte4,o1_CH1RANK0Byte5,o1_CH1RANK0Byte6,o1_CH1RANK0Byte7,o1_CH1RANK1Byte0,o1_CH1RANK1Byte1,o1_CH1RANK1Byte2,o1_CH1RANK1Byte3,o1_CH1RANK1Byte4,o1_CH1RANK1Byte5,o1_CH1RANK1Byte6,o1_CH1RANK1Byte7,objv_o0_CH0RANK0Byte0,objv_o0_CH0RANK0Byte1,objv_o0_CH0RANK0Byte2,objv_o0_CH0RANK0Byte3,objv_o0_CH0RANK0Byte4,objv_o0_CH0RANK0Byte5,objv_o0_CH0RANK0Byte6,objv_o0_CH0RANK0Byte7,objv_o0_CH0RANK1Byte0,objv_o0_CH0RANK1Byte1,objv_o0_CH0RANK1Byte2,objv_o0_CH0RANK1Byte3,objv_o0_CH0RANK1Byte4,objv_o0_CH0RANK1Byte5,objv_o0_CH0RANK1Byte6,objv_o0_CH0RANK1Byte7,objv_o0_CH1RANK0Byte0,objv_o0_CH1RANK0Byte1,objv_o0_CH1RANK0Byte2,objv_o0_CH1RANK0Byte3,objv_o0_CH1RANK0Byte4,objv_o0_CH1RANK0Byte5,objv_o0_CH1RANK0Byte6,objv_o0_CH1RANK0Byte7,objv_o0_CH1RANK1Byte0,objv_o0_CH1RANK1Byte1,objv_o0_CH1RANK1Byte2,objv_o0_CH1RANK1Byte3,objv_o0_CH1RANK1Byte4,objv_o0_CH1RANK1Byte5,objv_o0_CH1RANK1Byte6,objv_o0_CH1RANK1Byte7,objv_o1_CH0RANK0Byte0,objv_o1_CH0RANK0Byte1,objv_o1_CH0RANK0Byte2,objv_o1_CH0RANK0Byte3,objv_o1_CH0RANK0Byte4,objv_o1_CH0RANK0Byte5,objv_o1_CH0RANK0Byte6,objv_o1_CH0RANK0Byte7,objv_o1_CH0RANK1Byte0,objv_o1_CH0RANK1Byte1,objv_o1_CH0RANK1Byte2,objv_o1_CH0RANK1Byte3,objv_o1_CH0RANK1Byte4,objv_o1_CH0RANK1Byte5,objv_o1_CH0RANK1Byte6,objv_o1_CH0RANK1Byte7,objv_o1_CH1RANK0Byte0,objv_o1_CH1RANK0Byte1,objv_o1_CH1RANK0Byte2,objv_o1_CH1RANK0Byte3,objv_o1_CH1RANK0Byte4,objv_o1_CH1RANK0Byte5,objv_o1_CH1RANK0Byte6,objv_o1_CH1RANK0Byte7,objv_o1_CH1RANK1Byte0,objv_o1_CH1RANK1Byte1,objv_o1_CH1RANK1Byte2,objv_o1_CH1RANK1Byte3,objv_o1_CH1RANK1Byte4,objv_o1_CH1RANK1Byte5,objv_o1_CH1RANK1Byte6,objv_o1_CH1RANK1Byte7
vacuity,11.0,2.0,45.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.6,-32.0,-25.6,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0,-38.4,-25.6,-26.56666667,-32.0,-32.0,-32.0,-32.0,-25.600000000000005,-38.4,-25.6,-32.0,-38.4,-38.4,-32.0,-31.999999999999996,-25.6,-32.0,-25.6,-32.0,-32.0,-38.4,-32.0,-31.999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.6,-32.0,-25.6,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0,-38.4,-25.6,-26.56666667,-32.0,-32.0,-32.0,-32.0,-25.600000000000005,-38.4,-25.6,-32.0,-38.4,-38.4,-32.0,-31.999999999999996,-25.6,-32.0,-25.6,-32.0,-32.0,-38.4,-32.0,-31.999999999999996
"iter(4, 'completed')",12.0,3.0,30.0,34.0,-0.9999999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.2,-19.2,-12.8,-12.800000000000002,-19.2,-19.200000000000003,-19.2,-19.2,-19.2,-19.200000000000003,-19.2,-19.2,-12.800000000000002,-19.2,-12.8,-19.200000000000003,-12.800000000000006,-22.683333330000004,-12.800000000000002,-12.8,-19.200000000000003,-19.200000000000003,-12.800000000000002,-19.2,-12.8,-19.2,-12.8,-12.8,-12.8,-19.200000000000003,-12.800000000000002,-19.199999999999996,-0.9999999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.2,-19.2,-12.8,-12.800000000000002,-19.2,-19.200000000000003,-19.2,-19.2,-19.2,-19.200000000000003,-19.2,-19.2,-12.800000000000002,-19.2,-12.8,-19.200000000000003,-12.800000000000006,-22.683333330000004,-12.800000000000002,-12.8,-19.200000000000003,-19.200000000000003,-12.800000000000002,-19.2,-12.8,-19.2,-12.8,-12.8,-12.8,-19.200000000000003,-12.800000000000002,-19.199999999999996
"iter(5, 'selection')",7.0,3.0,30.0,38.0,-0.9999999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.2,-19.2,-12.8,-12.800000000000002,-19.2,-19.200000000000003,-19.2,-19.2,-19.2,-19.200000000000003,-19.2,-19.2,-12.800000000000002,-19.2,-12.8,-19.200000000000003,-12.800000000000006,-22.683333330000004,-12.800000000000002,-12.8,-19.200000000000003,-19.200000000000003,-12.800000000000002,-19.2,-12.8,-19.2,-12.8,-12.8,-12.8,-19.200000000000003,-12.800000000000002,-19.199999999999996,-0.9999999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.2,-19.2,-12.8,-12.800000000000002,-19.2,-19.200000000000003,-19.2,-19.2,-19.2,-19.200000000000003,-19.2,-19.2,-12.800000000000002,-19.2,-12.8,-19.200000000000003,-12.800000000000006,-22.683333330000004,-12.800000000000002,-12.8,-19.200000000000003,-19.200000000000003,-12.800000000000002,-19.2,-12.8,-19.2,-12.8,-12.8,-12.8,-19.200000000000003,-12.800000000000002,-19.199999999999996
"iter(5, 'completed')",13.0,3.0,30.0,34.0,-0.9999999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.2,-19.2,-12.8,-12.800000000000002,-19.2,-19.200000000000003,-19.2,-19.2,-19.2,-19.200000000000003,-19.2,-19.2,-12.800000000000002,-19.2,-12.8,-19.200000000000003,-12.800000000000006,-22.683333330000004,-12.800000000000002,-12.8,-19.200000000000003,-19.200000000000003,-12.800000000000002,-19.2,-12.8,-19.2,-12.8,-12.8,-12.8,-19.200000000000003,-12.800000000000002,-19.199999999999996,-0.9999999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.2,-19.2,-12.8,-12.800000000000002,-19.2,-19.200000000000003,-19.2,-19.2,-19.2,-19.200000000000003,-19.2,-19.2,-12.800000000000002,-19.2,-12.8,-19.200000000000003,-12.800000000000006,-22.683333330000004,-12.800000000000002,-12.8,-19.200000000000003,-19.200000000000003,-12.800000000000002,-19.2,-12.8,-19.2,-12.8,-12.8,-12.8,-19.200000000000003,-12.800000000000002,-19.199999999999996
"iter(6, 'completed')",10.0,3.0,30.0,40.0,-0.9999999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.2,-19.2,-12.8,-12.800000000000002,-19.2,-19.200000000000003,-19.2,-19.2,-19.2,-19.200000000000003,-19.2,-19.2,-12.800000000000002,-19.2,-12.8,-19.200000000000003,-12.800000000000006,-22.683333330000004,-12.800000000000002,-12.8,-19.200000000000003,-19.200000000000003,-12.800000000000002,-19.2,-12.8,-19.2,-12.8,-12.8,-12.8,-19.200000000000003,-12.800000000000002,-19.199999999999996,-0.9999999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.2,-19.2,-12.8,-12.800000000000002,-19.2,-19.200000000000003,-19.2,-19.2,-19.2,-19.200000000000003,-19.2,-19.2,-12.800000000000002,-19.2,-12.8,-19.200000000000003,-12.800000000000006,-22.683333330000004,-12.800000000000002,-12.8,-19.200000000000003,-19.200000000000003,-12.800000000000002,-19.2,-12.8,-19.2,-12.8,-12.8,-12.8,-19.200000000000003,-12.800000000000002,-19.199999999999996
"iter(12, 'completed')",11.0,3.0,30.0,40.0,-0.9999999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.2,-19.2,-12.8,-12.800000000000002,-19.2,-19.200000000000003,-19.2,-19.2,-19.2,-19.200000000000003,-19.2,-19.2,-12.800000000000002,-19.2,-12.8,-19.200000000000003,-12.800000000000006,-22.683333330000004,-12.800000000000002,-12.8,-19.200000000000003,-19.200000000000003,-12.800000000000002,-19.2,-12.8,-19.2,-12.8,-12.8,-12.8,-19.200000000000003,-12.800000000000002,-19.199999999999996,-0.9999999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.2,-19.2,-12.8,-12.800000000000002,-19.2,-19.200000000000003,-19.2,-19.2,-19.2,-19.200000000000003,-19.2,-19.2,-12.800000000000002,-19.2,-12.8,-19.200000000000003,-12.800000000000006,-22.683333330000004,-12.800000000000002,-12.8,-19.200000000000003,-19.200000000000003,-12.800000000000002,-19.2,-12.8,-19.2,-12.8,-12.8,-12.8,-19.200000000000003,-12.800000000000002,-19.199999999999996
"iter(13, 'completed')",15.0,3.0,30.0,34.0,-0.9999999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.2,-19.2,-12.8,-12.800000000000002,-19.2,-19.200000000000003,-19.2,-19.2,-19.2,-19.200000000000003,-19.2,-19.2,-12.800000000000002,-19.2,-12.8,-19.200000000000003,-12.800000000000006,-22.683333330000004,-12.800000000000002,-12.8,-19.200000000000003,-19.200000000000003,-12.800000000000002,-19.2,-12.8,-19.2,-12.8,-12.8,-12.8,-19.200000000000003,-12.800000000000002,-19.199999999999996,-0.9999999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.2,-19.2,-12.8,-12.800000000000002,-19.2,-19.200000000000003,-19.2,-19.2,-19.2,-19.200000000000003,-19.2,-19.2,-12.800000000000002,-19.2,-12.8,-19.200000000000003,-12.800000000000006,-22.683333330000004,-12.800000000000002,-12.8,-19.200000000000003,-19.200000000000003,-12.800000000000002,-19.2,-12.8,-19.2,-12.8,-12.8,-12.8,-19.200000000000003,-12.800000000000002,-19.199999999999996
"iter(14, 'selection')",15.0,3.0,30.0,40.0,-0.9999999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.2,-19.2,-12.8,-12.800000000000002,-19.2,-19.200000000000003,-19.2,-19.2,-19.2,-19.200000000000003,-19.2,-19.2,-12.800000000000002,-19.2,-12.8,-19.200000000000003,-12.800000000000006,-22.683333330000004,-12.800000000000002,-12.8,-19.200000000000003,-19.200000000000003,-12.800000000000002,-19.2,-12.8,-19.2,-12.8,-12.8,-12.8,-19.200000000000003,-12.800000000000002,-19.199999999999996,-0.9999999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.2,-19.2,-12.8,-12.800000000000002,-19.2,-19.200000000000003,-19.2,-19.2,-19.2,-19.200000000000003,-19.2,-19.2,-12.800000000000002,-19.2,-12.8,-19.200000000000003,-12.800000000000006,-22.683333330000004,-12.800000000000002,-12.8,-19.200000000000003,-19.200000000000003,-12.800000000000002,-19.2,-12.8,-19.2,-12.8,-12.8,-12.8,-19.200000000000003,-12.800000000000002,-19.199999999999996
"iter(14, 'completed')",7.0,3.0,30.0,34.0,-0.9999999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.2,-19.2,-12.8,-12.800000000000002,-19.2,-19.200000000000003,-19.2,-19.2,-19.2,-19.200000000000003,-19.2,-19.2,-12.800000000000002,-19.2,-12.8,-19.200000000000003,-12.800000000000006,-22.683333330000004,-12.800000000000002,-12.8,-19.200000000000003,-19.200000000000003,-12.800000000000002,-19.2,-12.8,-19.2,-12.8,-12.8,-12.8,-19.200000000000003,-12.800000000000002,-19.199999999999996,-0.9999999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.2,-19.2,-12.8,-12.800000000000002,-19.2,-19.200000000000003,-19.2,-19.2,-19.2,-19.200000000000003,-19.2,-19.2,-12.800000000000002,-19.2,-12.8,-19.200000000000003,-12.800000000000006,-22.683333330000004,-12.800000000000002,-12.8,-19.200000000000003,-19.200000000000003,-12.800000000000002,-19.2,-12.8,-19.2,-12.8,-12.8,-12.8,-19.200000000000003,-12.800000000000002,-19.199999999999996
"iter(15, 'selection')",13.0,3.0,30.0,40.0,-0.9999999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.2,-19.2,-12.8,-12.800000000000002,-19.2,-19.200000000000003,-19.2,-19.2,-19.2,-19.200000000000003,-19.2,-19.2,-12.800000000000002,-19.2,-12.8,-19.200000000000003,-12.800000000000006,-22.683333330000004,-12.800000000000002,-12.8,-19.200000000000003,-19.200000000000003,-12.800000000000002,-19.2,-12.8,-19.2,-12.8,-12.8,-12.8,-19.200000000000003,-12.800000000000002,-19.199999999999996,-0.9999999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.2,-19.2,-12.8,-12.800000000000002,-19.2,-19.200000000000003,-19.2,-19.2,-19.2,-19.200000000000003,-19.2,-19.2,-12.800000000000002,-19.2,-12.8,-19.200000000000003,-12.800000000000006,-22.683333330000004,-12.800000000000002,-12.8,-19.200000000000003,-19.200000000000003,-12.800000000000002,-19.2,-12.8,-19.2,-12.8,-12.8,-12.8,-19.200000000000003,-12.800000000000002,-19.199999999999996
